oper_num,oper_nm,apprvl_dt,sign_dt,cntry_cd,cntry_nm,publc_sts_nm,sector_cd,sector_nm,subsector_cd,subsector_nm,oper_typ_cd,opertyp_nm,objtv,orig_apprvd_useq_amnt,totl_cost_orig,loc_cntrprt,lending_typ_nm,modality_cd,modality_nm,facility_typ_cd,facility_typ_nm,envmntl_clssfctn_cd,envmntl_clssfctn_nm,lending_instrmnt_cd,lending_instrmnt_nm,lending_typ_cd,sts_cd
AR-G1002,Energy Efficiency and Renewable Energy in Low-income Housing,2015-07-29T00:00,2017-03-15T00:00,AR,Argentina,Implementation,DU,URBAN DEVELOPMENT AND HOUSING,DU-VIV,HOUSING,IGR,Investment Grants,"This project is to establish regulatory and technical guidelines for the design that will govern the construction of social housing and community equipment (facilities for common use such as social and recreational activities or school tutoring) with energy efficiency (EE) and renewable energies (RE), aimed at reducing consumers¿ energy demand and related GHG emissions and also facilitate innovation, catalyzing support for last generation low-carbon technologies and policy reforms.",14630855.000,85411079.00,70780224.00,Sovereign Guaranteed,NULL,NULL,NULL,NULL,C,Likely to cause minimal or no negative environmental and associated social impacts,NULL,NULL,SG,ACTIVE
AR-G1003,Adaptation to Climate Change Consequences on the Hydrological Cycle in Cuyo,2014-02-03T00:00,2014-04-24T00:00,AR,Argentina,Closed,PA,ENVIRONMENT AND NATURAL DISASTERS,PA-ADA,CLIMATE CHANGE ADAPTATION POLICY,IGR,Investment Grants,"This operation seeks to: i) reduce the water-related vulnerability of agricultural ecosystems, ii) promote an efficient use of water, iii) promoting and transferring new climate change adaptation technologies and iv) generate a communication strategy of lessosn learned that will ensure sustainability of these practices in the future.",1500000.000,1875000.00,375000.00,Sovereign Guaranteed,NULL,NULL,NULL,NULL,C,Likely to cause minimal or no negative environmental and associated social impacts,NULL,NULL,SG,EXITED
AR-G1004,Zolvers: A FinTech Platform for Domestic Workers,2018-09-26T00:00,2018-12-17T00:00,AR,Argentina,Closed,PS,PRIVATE FIRMS AND SME DEVELOPMENT,PS-MAJ,MAJORITY MARKETS DEVELOPMENT,IGR,Investment Grants,"The project will support the consolidation of Zolvers, a digital platform to facilitate the operation of the domestic workers' labor market--created as a digital marketplace that, through a proprietary algorithm and a thorough selection process of workers, ensures an effective meeting between supply and demand for these services. The purpose of the project is to help Zolvers to develop and scale up a FinTech channel, as part of its platform; in order to, on the one hand, encourage the financial inclusion of female workers, and on the other, contribute to generate alternative sources of recurring income to the company.",500000.000,1150000.00,650000.00,Non-Sovereign Guaranteed,NULL,NULL,NULL,NULL,B13,Uncategorized Directive B.13,MIF,Multilateral Investment Fund Instrument,NSG,EXITED
AR-G1006,"Digitalization, New Sources Of Income And Resilience Of Neighborhood Shops",2021-09-01T00:00,2021-11-19T00:00,AR,Argentina,Closed,PS,PRIVATE FIRMS AND SME DEVELOPMENT,PS-MIC,MICROENTERPRISE DEVELOPMENT,IGR,Investment Grants,"The objective of the project is to offer kiosks and neighborhood stores a free online platform (Platform) that allows them to start their digitalization process, managing their business digitally, receiving electronic payments and being able to offer different digital services to the community, such as sending and receiving payments, paying bills and recharging cell phones or transportation cards.",51250.000,51250.00,0.00,Non-Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,MIF,Multilateral Investment Fund Instrument,NSG,EXITED
AR-G1007,Córdoba GovTech: Developing the GovTech Ecosystem for the Transformation of Citizen Services,2021-11-29T00:00,2022-05-03T00:00,AR,Argentina,Implementation,RM,REFORM / MODERNIZATION OF THE STATE,RM-EGO,E-GOVERNMENT,IGR,Investment Grants,"The objective of the project is to support the development of the GovTech innovation ecosystem in Córdoba through the promotion of innovative collaboration between Technology Based Enterprises, innovative SMEs, entrepreneurial support institutions and the public sector, which will allow generating solutions that improve services to citizens.",600000.000,4050500.00,3450500.00,Non-Sovereign Guaranteed,NULL,NULL,NULL,NULL,C,Likely to cause minimal or no negative environmental and associated social impacts,MIF,Multilateral Investment Fund Instrument,NSG,ACTIVE
AR-G1008,Strengthening the Productivity of the Fruit and Vegetable Sector while Respecting the Environment and Human Health,2023-08-31T00:00,2023-11-24T00:00,AR,Argentina,Implementation,AG,AGRICULTURE AND RURAL DEVELOPMENT,AG-DEV,SUSTAINABLE AGRICULTURAL DEVELOPMENT,IGR,Investment Grants,The objective of the project is promote a reduction in the use of agrochemicals by small and medium fruit and vegetable producers through the development of alternative technologies based on RNA and the training of producers.,450000.000,936000.00,486000.00,Non-Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,MIF,Multilateral Investment Fund Instrument,NSG,ACTIVE
AR-G1009,Matriarca: an Innovation Platform for the Internationalization of Handicrafts Made by Indigenous Women of the Argentine Gran Chaco,2023-10-18T00:00,2024-01-05T00:00,AR,Argentina,Implementation,PS,PRIVATE FIRMS AND SME DEVELOPMENT,PS-MIC,MICROENTERPRISE DEVELOPMENT,IGR,Investment Grants,"The proposed solution aims to boost the creative industry in the rural areas of Gran Chaco Argentino, establish a solid structure and foster innovation in the existing handicraft value chain, with the aim of achieving a significant impact on the lives of indigenous women in the Gran Chaco and ensure their participation in the benefits of technology, commerce, and tourism, trade, and tourism.",250000.000,500660.00,250660.00,Non-Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,SMP,Social Entrepreneurship Program & Small Projects,NSG,ACTIVE
AR-G1010,Nat4BIO: Post-harvest Waste Reduction in Food Chains through Nature-based Solutions,2024-10-24T00:00,2024-10-31T00:00,AR,Argentina,Implementation,AG,AGRICULTURE AND RURAL DEVELOPMENT,AG-DEV,SUSTAINABLE AGRICULTURAL DEVELOPMENT,IGR,Investment Grants,"The general objective of the project is to reduce post-harvest waste of fresh fruit in Argentina and to make the fruit and vegetable sector more profitable and sustainable, while at the same time improving the quality of life of the sector's seasonal workers",700000.000,1992600.00,1292600.00,Non-Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,MIF,Multilateral Investment Fund Instrument,NSG,ACTIVE
AR-L1001,Strengthening of the Economic Policy Secretariat,2004-09-08T00:00,2005-05-04T00:00,AR,Argentina,Closed,RM,REFORM / MODERNIZATION OF THE STATE,RM-PUB,REFORM AND PUBLIC SECTOR SUPPORT,LON,Loan Operation,"The project objective is to contribute to the institutional strengthening process of the economic policy and the national development strategy. Specifically, the operation will improve the institutional capacity of the Economic Policy Secretariat for: (i) policy formulation; (ii) economic and social development strategies; and (ii) policy implementation as well as sectoral coordination.",4800000.000,6800000.00,2000000.00,Sovereign Guaranteed,SEF,SEF (Sector Facility),NULL,NULL,C(R),(R) Likely to cause minimal or no negative environmental and associated social impacts,INV,Investment Loan,SG,EXITED
AR-L1002,Inst Improvement Prog for Productive Sector & Fiscal Admin in Provinces,2004-11-17T00:00,2005-08-24T00:00,AR,Argentina,Closed,RM,REFORM / MODERNIZATION OF THE STATE,RM-DES,DECENTRALIZATION & INTERGOVERNMENTAL RELATIONS,LON,Loan Operation,"The general objective of the program is to contribute to the institutional strenghtening at provincial level, by establishing a framework of medium- and long-term fiscal and financial sustainability, maintaining an adequate fiscal balance through action on both the expenditure and the revenue sides; strengthening and upgrading the GCBA' s public administration by: (i) enhancing the efficiency and transparency of its management functions, and (ii) encouraging the participation of civil society through decentralization and strengthening of the legislative body; and supporting the investment program to ensure satisfactory quality and coverage of public services.",18000000.000,30000000.00,12000000.00,Sovereign Guaranteed,ESP,ESP (Specific Investment Operation),NULL,NULL,B13(R),(R) Uncategorized Directive B.13,INV,Investment Loan,SG,EXITED
AR-L1003,Productive Development and Competitiveness in Mendoza Province,2005-07-06T00:00,2005-08-24T00:00,AR,Argentina,Closed,PS,PRIVATE FIRMS AND SME DEVELOPMENT,PS,PRIVATE FIRMS AND SME DEVELOPMENT,LON,Loan Operation,"The final objective is to contribute to an competitive provincial economic structure, through focus on value chains articulated in a strengthened public-private sector climate. The purpose is to increase the competitiveness of the value chains located in the seven productive circuits of the Province.",70000000.000,116660000.00,46660000.00,Sovereign Guaranteed,ESP,ESP (Specific Investment Operation),NULL,NULL,C(R),(R) Likely to cause minimal or no negative environmental and associated social impacts,INV,Investment Loan,SG,EXITED
AR-L1004,Improvement of the Competitiveness of Tourism,2005-07-26T00:00,2005-08-24T00:00,AR,Argentina,Closed,TU,SUSTAINABLE TOURISM,TU-DES,DEVELOPMENT TOURISM DESTINATION & PRODUCT MANAGEMENT,LON,Loan Operation,The main objective of the project is to increase revenues generated by visitors to prioritized public tourism areas.,33000000.000,56000000.00,23000000.00,Sovereign Guaranteed,ESP,ESP (Specific Investment Operation),NULL,NULL,B(R),(R) Likely to cause mostly local and short-term negative environmental and associated social impacts and for which effective mitigation measures are readily available,INV,Investment Loan,SG,EXITED
