project_id,quality_at_entry,outcome_success,region,sector,approval_year
P004649,5.0,1.0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy",1995.0
P005920,4.0,1.0,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy",1997.0
P006043,3.0,0.0,Latin America and Caribbean,Energy & Extractives,1999.0
P006553,2.0,0.0,Latin America and Caribbean,Water,2010.0
P009127,3.0,0.0,Europe and Central Asia,Water,2003.0
P010556,5.0,1.0,South Asia,Transport,2004.0
P034038,4.0,1.0,Middle East and North Africa,Transport,2002.0
P035655,5.0,1.0,Western and Central Africa,Education,1998.0
P035777,3.0,1.0,Europe and Central Asia,Agriculture and Food,2003.0
P039838,6.0,1.0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy",1998.0
P040177,3.0,0.0,Latin America and Caribbean,"Finance, Competitiveness and Innovation",2003.0
P040610,4.0,1.0,South Asia,Water,2002.0
P040653,3.0,0.0,Western and Central Africa,Agriculture and Food,2006.0
P040712,4.0,1.0,South Asia,Agriculture and Food,2008.0
P040907,3.0,1.0,East Asia and Pacific,Energy & Extractives,2001.0
P041396,5.0,1.0,Middle East and North Africa,Energy & Extractives,2007.0
P043195,3.0,0.0,Europe and Central Asia,Transport,2004.0
P043311,3.0,0.0,South Asia,Energy & Extractives,2003.0
P045499,4.0,1.0,Middle East and North Africa,Water,2000.0
P049290,5.0,1.0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy",2005.0
P049395,2.0,0.0,Eastern and Southern Africa,Energy & Extractives,2003.0
P049706,5.0,1.0,Middle East and North Africa,"Environment, Natural Resources & the Blue Economy",1997.0
P049724,3.0,1.0,Europe and Central Asia,Agriculture and Food,2005.0
P050046,3.0,0.0,Western and Central Africa,Education,2002.0
P050272,4.0,1.0,Eastern and Southern Africa,"Finance, Competitiveness and Innovation",2005.0
P050440,3.0,0.0,Eastern and Southern Africa,Governance,2006.0
P050484,2.0,0.0,Middle East and North Africa,Education,1999.0
P050529,5.0,1.0,Middle East and North Africa,"Urban, Resilience and Land",2003.0
P050653,3.0,1.0,South Asia,Water,2002.0
P050716,3.0,1.0,Latin America and Caribbean,"Health, Nutrition & Population",2008.0
P051306,5.0,1.0,Latin America and Caribbean,"Urban, Resilience and Land",2004.0
P051922,3.0,1.0,Eastern and Southern Africa,Agriculture and Food,2001.0
P052402,3.0,0.0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy",2005.0
P052608,4.0,0.0,Latin America and Caribbean,Education,2008.0
P054221,3.0,1.0,Latin America and Caribbean,Water,2009.0
P055085,3.0,0.0,Latin America and Caribbean,Transport,2003.0
P055120,3.0,1.0,Eastern and Southern Africa,Transport,2010.0
P055383,4.0,1.0,Europe and Central Asia,Social Protection & Jobs,2001.0
P056018,4.0,1.0,Latin America and Caribbean,"Urban, Resilience and Land",2002.0
P056256,3.0,0.0,Western and Central Africa,Water,2005.0
P057761,3.0,1.0,Eastern and Southern Africa,Energy & Extractives,2006.0
P057857,2.0,0.0,Latin America and Caribbean,Education,2005.0
P060484,4.0,1.0,Latin America and Caribbean,"Urban, Resilience and Land",2006.0
P062916,3.0,0.0,South Asia,"Finance, Competitiveness and Innovation",2003.0
P063913,4.0,1.0,East Asia and Pacific,Energy & Extractives,2003.0
P064836,4.0,1.0,Middle East and North Africa,Water,2006.0
P064876,3.0,0.0,Eastern and Southern Africa,Transport,2004.0
P064886,5.0,0.0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy",2003.0
P064918,4.0,0.0,Latin America and Caribbean,Agriculture and Food,2007.0
P064925,4.0,1.0,East Asia and Pacific,"Urban, Resilience and Land",2006.0
P065126,3.0,1.0,Western and Central Africa,"Health, Nutrition & Population",2005.0
P065127,3.0,0.0,Western and Central Africa,Transport,2005.0
P065129,5.0,1.0,Western and Central Africa,"Urban, Resilience and Land",2008.0
P065256,2.0,0.0,Latin America and Caribbean,Water,2003.0
P065898,4.0,1.0,East Asia and Pacific,Water,2004.0
P066051,4.0,1.0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy",2005.0
P066396,3.0,0.0,East Asia and Pacific,Energy & Extractives,2002.0
P066397,4.0,0.0,East Asia and Pacific,Energy & Extractives,2004.0
P066426,4.0,0.0,Latin America and Caribbean,Energy & Extractives,2007.0
P066488,5.0,1.0,Eastern and Southern Africa,"Urban, Resilience and Land",2010.0
P066532,2.0,0.0,East Asia and Pacific,Energy & Extractives,2004.0
P068049,4.0,1.0,East Asia and Pacific,Energy & Extractives,2002.0
P068133,3.0,0.0,East Asia and Pacific,Transport,2006.0
P069055,3.0,0.0,Europe and Central Asia,Education,2003.0
P069063,5.0,1.0,Europe and Central Asia,"Urban, Resilience and Land",2003.0
P069126,4.0,1.0,Western and Central Africa,Energy & Extractives,2005.0
P069258,3.0,1.0,Eastern and Southern Africa,Energy & Extractives,2004.0
P069460,3.0,1.0,Middle East and North Africa,"Environment, Natural Resources & the Blue Economy",2005.0
P069896,4.0,1.0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy",2006.0
P070063,4.0,1.0,Eastern and Southern Africa,Agriculture and Food,2006.0
P070092,3.0,0.0,Middle East and North Africa,"Urban, Resilience and Land",2002.0
P070197,4.0,1.0,East Asia and Pacific,"Urban, Resilience and Land",2004.0
P070232,3.0,0.0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy",2006.0
P070246,3.0,0.0,Europe and Central Asia,Energy & Extractives,2005.0
P070448,3.0,0.0,Latin America and Caribbean,Governance,2006.0
P070519,5.0,1.0,East Asia and Pacific,Transport,2006.0
P070628,3.0,0.0,Latin America and Caribbean,Transport,2005.0
P070653,4.0,1.0,Latin America and Caribbean,Agriculture and Food,2005.0
P070867,2.0,0.0,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy",2007.0
P070878,2.0,0.0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy",2006.0
P070885,5.0,1.0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy",2006.0
P070899,4.0,1.0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy",2004.0
P070937,3.0,1.0,Latin America and Caribbean,Education,2002.0
P070958,4.0,1.0,Middle East and North Africa,"Urban, Resilience and Land",2007.0
P070963,4.0,1.0,Latin America and Caribbean,Education,2006.0
P071063,2.0,0.0,Europe and Central Asia,Governance,2003.0
P071075,4.0,0.0,Western and Central Africa,Water,2004.0
P071115,5.0,1.0,Middle East and North Africa,"Finance, Competitiveness and Innovation",2004.0
