project_id,quality_at_entry,outcome_success,region,sector
P004649,5,1,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy"
P005920,4,1,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy"
P006043,3,0,Latin America and Caribbean,Energy & Extractives
P006553,2,0,Latin America and Caribbean,Water
P009127,3,0,Europe and Central Asia,Water
P010556,5,1,South Asia,Transport
P034038,4,1,Middle East and North Africa,Transport
P035655,5,1,Western and Central Africa,Education
P035777,3,1,Europe and Central Asia,Agriculture and Food
P039838,6,1,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy"
P040177,3,0,Latin America and Caribbean,"Finance, Competitiveness and Innovation"
P040610,4,1,South Asia,Water
P040653,3,0,Western and Central Africa,Agriculture and Food
P040712,4,1,South Asia,Agriculture and Food
P040907,3,1,East Asia and Pacific,Energy & Extractives
P041396,5,1,Middle East and North Africa,Energy & Extractives
P043195,3,0,Europe and Central Asia,Transport
P043311,3,0,South Asia,Energy & Extractives
P045499,4,1,Middle East and North Africa,Water
P049290,5,1,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy"
P049395,2,0,Eastern and Southern Africa,Energy & Extractives
P049706,5,1,Middle East and North Africa,"Environment, Natural Resources & the Blue Economy"
P049724,3,1,Europe and Central Asia,Agriculture and Food
P050046,3,0,Western and Central Africa,Education
P050272,4,1,Eastern and Southern Africa,"Finance, Competitiveness and Innovation"
P050440,3,0,Eastern and Southern Africa,Governance
P050484,2,0,Middle East and North Africa,Education
P050529,5,1,Middle East and North Africa,"Urban, Resilience and Land"
P050653,3,1,South Asia,Water
P050716,3,1,Latin America and Caribbean,"Health, Nutrition & Population"
P051306,5,1,Latin America and Caribbean,"Urban, Resilience and Land"
P051922,3,1,Eastern and Southern Africa,Agriculture and Food
P052402,3,0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy"
P052608,4,0,Latin America and Caribbean,Education
P054221,3,1,Latin America and Caribbean,Water
P055085,3,0,Latin America and Caribbean,Transport
P055120,3,1,Eastern and Southern Africa,Transport
P055383,4,1,Europe and Central Asia,Social Protection & Jobs
P056018,4,1,Latin America and Caribbean,"Urban, Resilience and Land"
P056256,3,0,Western and Central Africa,Water
P057761,3,1,Eastern and Southern Africa,Energy & Extractives
P057857,2,0,Latin America and Caribbean,Education
P060484,4,1,Latin America and Caribbean,"Urban, Resilience and Land"
P062916,3,0,South Asia,"Finance, Competitiveness and Innovation"
P063913,4,1,East Asia and Pacific,Energy & Extractives
P064836,4,1,Middle East and North Africa,Water
P064876,3,0,Eastern and Southern Africa,Transport
P064886,5,0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy"
P064918,4,0,Latin America and Caribbean,Agriculture and Food
P064925,4,1,East Asia and Pacific,"Urban, Resilience and Land"
P065126,3,1,Western and Central Africa,"Health, Nutrition & Population"
P065127,3,0,Western and Central Africa,Transport
P065129,5,1,Western and Central Africa,"Urban, Resilience and Land"
P065256,2,0,Latin America and Caribbean,Water
P065898,4,1,East Asia and Pacific,Water
P066051,4,1,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy"
P066396,3,0,East Asia and Pacific,Energy & Extractives
P066397,4,0,East Asia and Pacific,Energy & Extractives
P066426,4,0,Latin America and Caribbean,Energy & Extractives
P066488,5,1,Eastern and Southern Africa,"Urban, Resilience and Land"
P066532,2,0,East Asia and Pacific,Energy & Extractives
P068049,4,1,East Asia and Pacific,Energy & Extractives
P068133,3,0,East Asia and Pacific,Transport
P069055,3,0,Europe and Central Asia,Education
P069063,5,1,Europe and Central Asia,"Urban, Resilience and Land"
P069126,4,1,Western and Central Africa,Energy & Extractives
P069258,3,1,Eastern and Southern Africa,Energy & Extractives
P069460,3,1,Middle East and North Africa,"Environment, Natural Resources & the Blue Economy"
P069896,4,1,Western and Central Africa,"Environment, Natural Resources & the Blue Economy"
P070063,4,1,Eastern and Southern Africa,Agriculture and Food
P070092,3,0,Middle East and North Africa,"Urban, Resilience and Land"
P070197,4,1,East Asia and Pacific,"Urban, Resilience and Land"
P070232,3,0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy"
P070246,3,0,Europe and Central Asia,Energy & Extractives
P070448,3,0,Latin America and Caribbean,Governance
P070519,5,1,East Asia and Pacific,Transport
P070628,3,0,Latin America and Caribbean,Transport
P070653,4,1,Latin America and Caribbean,Agriculture and Food
P070867,2,0,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy"
P070878,2,0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy"
P070885,5,1,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy"
P070899,4,1,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy"
P070937,3,1,Latin America and Caribbean,Education
P070958,4,1,Middle East and North Africa,"Urban, Resilience and Land"
P070963,4,1,Latin America and Caribbean,Education
P071063,2,0,Europe and Central Asia,Governance
P071075,4,0,Western and Central Africa,Water
P071115,5,1,Middle East and North Africa,"Finance, Competitiveness and Innovation"
P071144,3,1,Eastern and Southern Africa,"Macroeconomics, Trade and Investment"
P071160,4,1,South Asia,"Health, Nutrition & Population"
P071170,3,0,Middle East and North Africa,Water
P071250,4,1,South Asia,"Urban, Resilience and Land"
P071259,4,0,Eastern and Southern Africa,Water
P071285,4,1,South Asia,Water
P071296,2,0,East Asia and Pacific,"Urban, Resilience and Land"
P071340,3,0,Western and Central Africa,"Urban, Resilience and Land"
P071391,2,0,Western and Central Africa,Water
P071443,4,1,Western and Central Africa,"Macroeconomics, Trade and Investment"
P071465,4,1,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy"
P071579,3,0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy"
P071631,4,1,Western and Central Africa,"Health, Nutrition & Population"
P071794,5,1,South Asia,Energy & Extractives
P071985,4,0,Eastern and Southern Africa,Transport
P072030,4,0,Western and Central Africa,Water
P072202,3,1,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy"
P072226,3,0,Western and Central Africa,"Health, Nutrition & Population"
P072644,3,1,Western and Central Africa,Transport
P072721,4,1,East Asia and Pacific,Energy & Extractives
P072960,5,1,Europe and Central Asia,Governance
P073089,2,0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy"
P073206,4,1,East Asia and Pacific,"Urban, Resilience and Land"
P073322,4,1,Eastern and Southern Africa,Energy & Extractives
P073361,4,1,East Asia and Pacific,"Urban, Resilience and Land"
P073370,4,1,South Asia,Water
P073458,4,1,South Asia,"Finance, Competitiveness and Innovation"
P073488,4,1,East Asia and Pacific,"Urban, Resilience and Land"
P073689,2,0,Eastern and Southern Africa,Transport
P073763,3,0,East Asia and Pacific,Water
P073821,4,1,Eastern and Southern Africa,"Health, Nutrition & Population"
P073886,4,1,South Asia,Agriculture and Food
P073977,3,1,Middle East and North Africa,Water
P074011,4,1,Eastern and Southern Africa,Energy & Extractives
P074020,5,1,Eastern and Southern Africa,Governance
P074027,3,0,East Asia and Pacific,"Health, Nutrition & Population"
P074030,3,1,Western and Central Africa,Transport
P074086,3,0,Eastern and Southern Africa,Agriculture and Food
P074091,4,1,Eastern and Southern Africa,"Health, Nutrition & Population"
P074106,3,0,Eastern and Southern Africa,Agriculture and Food
P074132,4,0,Western and Central Africa,Education
P074191,5,1,Western and Central Africa,Energy & Extractives
P074235,3,0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy"
P074288,4,1,Western and Central Africa,Energy & Extractives
P074595,4,1,Middle East and North Africa,Water
P074688,5,1,East Asia and Pacific,Energy & Extractives
P074726,4,1,Latin America and Caribbean,Transport
P074881,5,1,Europe and Central Asia,"Finance, Competitiveness and Innovation"
P075058,5,1,South Asia,"Health, Nutrition & Population"
P075173,2,0,East Asia and Pacific,Transport
P075207,4,1,Europe and Central Asia,Transport
P075231,2,0,Europe and Central Asia,Social Protection & Jobs
P075343,4,1,Europe and Central Asia,Energy & Extractives
P075399,6,1,East Asia and Pacific,Governance
P075407,5,1,East Asia and Pacific,Transport
P075523,4,1,East Asia and Pacific,Transport
P075531,4,1,East Asia and Pacific,Energy & Extractives
P075534,4,1,Middle East and North Africa,"Environment, Natural Resources & the Blue Economy"
P075566,4,1,Eastern and Southern Africa,Transport
P075613,4,1,East Asia and Pacific,Transport
P075732,3,0,East Asia and Pacific,"Urban, Resilience and Land"
P075809,3,0,Middle East and North Africa,Education
P075964,2,0,Western and Central Africa,Education
