DATAFLOW,STRUCTURE_NAME,ACTION,DONOR,Donor,RECIPIENT,Recipient,SECTOR,Sector,MEASURE,Measure,CHANNEL,Channel,MODALITY,Modality,FLOW_TYPE,Flow type,PRICE_BASE,Price base,MD_DIM,Drilldown dimension,MD_ID,Microdata ID,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,DONOR_AGENCY,Donor agency,OECD_ID,OECD ID,DONOR_PROJECT_ID,Donor project ID,REGION,Region,INCOME_GROUP,Income group,CHANNELDELIVERY_CODE,Channel of delivery code,CHANNELDELIVERY_NAME,Channel of delivery name,CATEGORY_CODE,Category code,CATEGORY_NAME,Category name,FINANCETYPE_CODE,FinanceType code,FINANCETYPE_NAME,FinanceType name,BIMULTI_CODE,BiMulti code,SHORT_DESCRIPTION,Short description,PROJECT_TITLE,Project title,LONG_DESCRIPTION,Long description,SDG_FOCUS,SDG focus,GENDER_EQUALITY,Gender equality,ENVIRONMENT,Environment,GOVERNANCE,Governance,RMNCH,RMNCH,DRR,DRR,NUTRITION,Nutrition,DISABILITY,Disability,BIODIVERSITY,Biodiversity,CLIMATE_MITIGATION,Climate mitigation,CLIMATE_ADAPTATION,Climate adaptation,DESERTIFICATION,Desertification,AMOUNT_TIED,Amount tied,AMOUNT_UNTIED,Amount untied,AMOUNT_PARTIALLY_UNTIED,Amount partially untied,NATURE_OF_SUBMISSION,Nature of submission,PSIFLAG_CODE,PSI flag,PSIFLAG_NAME,PSI Flag name
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","BIH","Bosnia and Herzegovina","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",264.515798,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","TUR","Türkiye","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",1290.986645,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MNE","Montenegro","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",39.72032,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MKD","North Macedonia","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",90.858441,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","XKV","Kosovo","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",176.828703,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","UKR","Ukraine","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",883.882294,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","ALB","Albania","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",223.188635,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","SRB","Serbia","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",371.347837,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MDA","Moldova","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",113.304398,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","BLR","Belarus","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",162.65754,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
