Loan Number,Project No.,Country Name,ISO ALPHA-3 Country Code,ADB Country Code,Country Group,"Country classification, latest ","Country classification, at approval",Department,Project Name,"Modality
(AER)",Mode of financial assistance,ADF or OCR?,Source of funds,"Approved amount 
(USD mil)","Disbursed amount
(USD mil)",Approval date,Approval year,Loan signing,Loan effectivity (original),Loan effectivity (actual),Closing date (estimate),Closing date (actual),"Cofin, app
(USD mil)","Cofin, act
(USD mil)","Proj Cost, app
(USD mil)","Proj Cost, act
(USD mil)",Sector (2009),Subsector (2009),Primary Sector (PCS 2014),Primary Sector (PCS 2014)_3,Primary Subsector (PCS 2014),Secondary Sector (PCS 2014),Secondary Subsector (PCS 2014),RRP circulation date (BOD),PCR circulation date (BOD),PCR overall rating,PCR relevance,PCR effectiveness,PCR efficiency,PCR sustainability,With PVR?,PVR circulation date,PVR overall rating,PVR relevance,PVR effectiveness,PVR efficiency,PVR sustainability,"With PPER/
PPAR?",PPER circulation date (BOD),PPER overall rating,PPER relevance,PPER effectiveness,PPER efficiency,PPER sustainability,Source of latest rating,"AER reporting year
(PCR circ)",Latest overall rating,Latest relevance,Latest effectiveness,Latest efficiency,Latest sustainability
2245/2246/0080,37536-013,Uzbekistan,UZB,UZB,Central West Asia,B,B2,CWRD,Land Improvement Project,Project,Project loan,,ADF/OCR,60.2,52.92,24-Jul-06,2006,27-Sep-07,26-Dec-07,9-Nov-07,31-Mar-13,30-Sep-15,3,2.47,79.2,105.2,Agriculture and Natural Resources,Irrigation and drainage,"Agriculture, natural resources and rural development",ANR,Agricultural drainage,„na,„na,6-Jun,8-Aug-16,Successful,Relevant,Highly effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
178,40555-012,Cambodia,KHM,CAM,Southeast Asia,A,A,SERD,Strengthening Technical and Vocational Education and Training Project,Project,Project grant,,ADF,24.5,24.2,13-Nov-09,2009,27-Dec-09,27-Mar-10,26-Feb-10,31-Jul-15,31-Jul-15,0,0,27.52,26.51,Education,Technical education and vocational skills training,Education,EDU,Technical and vocational education and training,„na,„na,23-Oct-09,1-Jul-16,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2220/0031/0032,34285-013,Samoa,WSM,SAM,Pacific,A,A,PARD,Education Sector Project II,Project,Project loan,,ADF,8.06,7.85,16-Dec-05,2005,5-Jun-06,14-Aug-06,30-Jun-13,30-Jun-13,22-Sep-15,17.2,14.48,30,26.31,Education,Education sector development,Education,EDU,Education sector development,„na,„na,25-Nov-05,6-Jul-16,Successful,Relevant,Effective,Less than efficient,Likely sustainable,Yes,17-Aug,Less than successful,Less than relevant,Effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Less than relevant,Effective,Less than efficient,Likely sustainable
2277/2551/0065/0105/0160,35174-013/35174-023/35174-022/35174-032,Nepal,NPL,NEP,South Asia,A,A,SARD,Education Sector Program (Subprograms I-III),Program,Program loan,,ADF,135,136.27,1-Dec-06,2006,28-Dec-06,28-Mar-07,6-Feb-07,31-Dec-12,2-Nov-11,0,0,135.3,136.57,Education,Education sector development,Education,EDU,Education sector development,„na,„na,10-Nov-06,26-Jul-16,Successful,Relevant,Less than effective,Efficient,Likely sustainable,Yes,17-Dec,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable
2371/0091,39293-013,Sri Lanka,LKA,SRI,South Asia,B,B1,SARD,Education for Knowledge Society Project,Project,Project loan,,ADF,80,78.77,26-Nov-07,2007,18-Dec-07,7-Mar-08,7-Mar-08,30-Jun-13,16-Dec-15,0,0,105.3,94.7,Education,Education sector development,Education,EDU,Education sector development,„na,„na,5-Nov-07,12-Jul-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Oct,Less than successful,Less than relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Less than relevant,Effective,Efficient,Less than likely sustainable
360,46384-001,Samoa,WSM,SAM,Pacific,A,A,PARD,Public Sector Financial Management Program,Program,Program grant,,ADF,14,14,24-Sep-13,2013,29-Oct-13,27-Jan-14,8-Nov-13,31-Dec-15,12-Oct-15,0,0,14,14,Public Sector Management,Economic and public affairs management,Public sector management,PSM,"Economic affairs management, Public expenditure and fiscal management, Reforms of state owned enterprises",WUS,"Urban policy, institutional and capacity development",3-Sep-13,8-Sep-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Jul,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
416,47314-001,Kiribati,KIR,KIR,Pacific,A,A,PARD,Strengthening Fiscal Stability Program,Program,Program grant,,ADF,3,3,28-Nov-14,2014,4-Dec-14,4-Mar-15,11-Dec-14,31-Dec-14,31-Dec-14,8.2,8.2,3,3,NA,NA,Public sector management,PSM,Reforms of state owned enterprises,„na,„na,7-Nov-14,24-Aug-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2478/2786,38264-013/422208-013,Indonesia,IDN,INO,Southeast Asia,C,C,SERD,Second Local Government Finance and Governance Reform Program - Subprogram 1,Program,Program loan,,OCR,550,550,11-Dec-08,2008,11-Dec-08,11-Mar-09,18-Dec-08,31-Dec-11,31-Dec-11,0,0,550,550,Public Sector Management,Public finance and expenditure management,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,13-Nov-08,1-Jul-16,Successful,Highly relevant,Highly effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2201,35201-013,Sri Lanka,LKA,SRI,South Asia,B,B1,SARD,Local Government Infrastructure Improvement Project,Project,Project loan,,ADF,50,39.7,24-Nov-05,2005,19-Jan-06,31-May-06,30-Jun-06,30-Apr-12,30-Jan-13,0,0,66.7,56.8,"Water supply, sanitation, and waste management",Integrated ƒ,Water and other urban infrastructure services,WUS,Urban water supply,TRA,Urban roads and traffic management,3-Nov-05,3-Aug-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2244,37641-013,"China, People's Republic of",CHN,PRC,East Asia,C,B2,EARD,Hunan Flood Management Sector Project,Project,Sector loan,,OCR,200,191.2,29-Jun-06,2006,4-Oct-06,2-Jan-07,9-Jan-07,31-Mar-13,31-Dec-14,0,0,497.4,567.6,Agriculture and Natural Resources,Water resource management,"Agriculture, natural resources and rural development",ANR,Rural flood protection,„na,„na,8-Jun-06,26-Aug-16,Successful,Relevant,Effective,Efficient,Most likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
