"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",34.7835297515989,34.7750744684362,34.9888123324634,35.2934065893063,35.1775073602779,35.065558913267,35.1982686386118,35.335122837524,35.5420415419219,35.4097697721394,32.0981979446875,30.5904862286104,30.1639516686315,29.8777643980503,30.2536360442018,30.5109470299072,29.8264582001116,30.8188271328623,30.6525351705406,31.5441618304546,31.7959605052784,31.9039263112629,31.3465465695633,31.1651788320777,31.9105110793503,31.7278135171411,32.8335174290691,32.633595958253,32.7650170103342
"ALB","Albania",41.3964943858149,41.3792138566231,41.3334510623732,41.1001591916426,41.0265852008418,41.3814304837085,41.3959059370893,41.602467100569,41.6641451368953,42.505107575352,42.1525187783791,41.414330914702,41.881827322012,42.7019343019108,43.7268703450009,44.2860466574733,43.9505143179702,44.466530477996,44.9630997932652,46.4352348405401,47.2259159455329,47.1139450148953,47.064078899692,47.3408698097704,47.4120950878087,47.738608913576,48.4433197837689,49.3486818450146,49.7474507369219
"DZA","Algeria",45.2085243870438,45.3106083969166,44.7115769475862,44.2176926611315,44.2338381585795,44.1985763362954,44.2559344853062,44.2951231219477,45.3376853191638,45.6545510504788,46.2356383665806,44.7056206987731,44.6803479456916,44.7324811458215,44.9595770421848,44.8042543310262,44.4611559366964,44.7185849921522,45.2451448091684,44.9823982987278,45.1234434178704,45.4714405577168,46.6246143347909,46.3534668021387,46.487537223125,47.5316325038626,47.2464769115856,47.3918994576124,47.6893924906014
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",34.1674864859764,34.1499848438528,34.1309677164565,34.1117159633211,34.0729432723481,34.0301878076159,34.12943961255,34.4363857557565,33.954097853261,33.9948464417927,33.4472422531557,31.9296065913253,32.1686076387125,32.2742500957858,32.0209596464402,31.3497151958895,31.3333514942747,32.2389967382924,32.5042571391982,31.9350037928964,31.7904614095932,32.8971038931391,33.2131489346604,34.1028742246527,34.7745625046723,35.2921439069986,36.595834087873,36.8942349492908,37.0433573133306
"ATG","Antigua and Barbuda",47.672721260294,47.7123019311359,47.8211387645193,47.8848139707039,47.8962677228571,48.007815524236,48.0857898110647,48.301372782335,48.4732231779668,48.5155485950335,49.2343215358363,49.3584260637497,49.6346960313194,50.2416744126126,50.5743855879317,50.8211531944287,50.2781634261362,50.8228060662004,50.7661051651095,48.6955512021793,48.4295486245509,48.3684418922379,46.3643714552942,46.7231768988081,46.9746535966893,46.8252727376001,46.8179086462589,47.1852097488373,47.2784593284228
"ARG","Argentina",46.7558284332846,46.8832668345452,46.5850474329618,46.3759249220587,46.5721055387725,46.8262606510598,46.0682573317598,45.7020047327847,45.6419448018273,45.9290713319358,46.6820107106707,45.7213378221992,46.1411147242119,45.8318384865556,45.8632535274019,46.2990033990143,46.1037664520353,45.8440545973499,45.5120610080099,45.0769981298042,44.8996914763672,46.5120910519626,46.441575292977,48.315080343066,48.7207930681477,48.9686712280041,47.8940618425854,47.8333982616558,48.0904031595469
"ARM","Armenia",47.0218794584889,47.3401024576989,46.2071816203653,46.0939538942647,46.7803006096645,47.0554712062913,47.1066047157615,48.6506788548393,49.1745843075388,48.7447683900247,49.58254821223,48.9769739821181,48.6922295657591,50.014055276822,49.9902796694409,50.220565320591,50.3463223695891,50.7011521110966,51.7067198309547,52.8751543790892,53.0710071724417,53.4300730601181,53.5256180397875,54.1303685004606,55.238560107742,55.6897616591797,56.2441555269216,56.4134717918025,56.7140115960419
"AUS","Australia",63.3849814772652,63.544201076693,63.5313743530563,63.668802493162,63.960530044146,64.3175315229389,64.5935737364848,64.6647373227848,65.3484855153623,66.039560209418,66.2740989827372,68.3974755596927,68.8560417134984,69.2561753029115,68.9134316532415,69.2790637564839,69.3554899201878,69.292570436299,69.2487818133458,69.3498753499113,69.3935869718605,68.9549850029503,68.3621331902277,69.1711576036906,69.263731588679,68.3131040775975,69.2119739947733,69.1465549910627,69.1970417705069
"AUT","Austria",64.6554767947817,64.932327192483,65.3931295260002,65.7419910958517,66.0188997072016,66.220219128539,66.6447351929385,66.9390832124991,67.2275013429645,67.6739875038196,67.6909401292135,69.1132541062363,69.8072535980028,69.1946690698895,68.2978498909523,68.4361207590759,68.0736091530137,68.1252630035586,69.1420909725543,69.4587848810567,69.7262562761327,69.2148057168889,69.2590850010899,69.4754230142867,69.1237909346913,69.1193401753625,68.5165215286399,68.213840941009,67.9433280945423
