subsection|variable_name|year_from|year_to|polity_name|polity_new_ID|polity_old_ID|value_from|value_to|confidence|is_disputed|is_uncertain|expert_checked|DRB_reviewed
Social Scale|polity_territory|-4000|-3501|Uruk|iq_uruk|IqUruk*|2000|2100|Confident|False|False|True|False
Social Scale|polity_territory|-3800|-3800|Naqada I|eg_naqada_1|EgNaqa1|5|20|Confident|False|False|True|
Social Scale|polity_territory|-3700|-3600|Naqada I|eg_naqada_1|EgNaqa1|5000|7500|Confident|False|False|True|
Social Scale|polity_territory|-3500|-3000|Uruk|iq_uruk|IqUruk*|1600|2200|Confident|False|False|True|
Social Scale|polity_territory|-2900|-2801|Egypt - Dynasty II|eg_dynasty_2|EgDyn2*|100000|100000|Confident|False|False|True|
Social Scale|polity_territory|-2800|-2701|Egypt - Dynasty II|eg_dynasty_2|EgDyn2*|267000|267000|Confident|False|False|True|
Social Scale|polity_territory|-2700|-2687|Egypt - Dynasty II|eg_dynasty_2|EgDyn2*|300000|300000|Confident|False|False|True|False
Social Scale|polity_territory|-2000|-2000|Egypt - Middle Kingdom|eg_middle_k|EgMidKg|238000|238000|Confident|False|False|True|
Social Scale|polity_territory|-1900|-1900|Egypt - Middle Kingdom|eg_middle_k|EgMidKg|413000|413000|Confident|False|False|True|
Social Scale|polity_territory|-1800|-1800|Egypt - Middle Kingdom|eg_middle_k|EgMidKg|450000|450000|Confident|False|False|True|
Social Scale|polity_territory|-1600|-1600|Hatti - Old Kingdom|tr_hatti_old_k|TrHatOK|50000|75000|Confident|False|False|True|
Social Scale|polity_territory|-1500|-1500|Hatti - Old Kingdom|tr_hatti_old_k|TrHatOK|150000|200000|Confident|False|False|True|
Social Scale|polity_territory|-1500|-1451|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|EgNKThu|650000|650000|Confident|False|False|True|
Social Scale|polity_territory|-1450|-1351|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|EgNKThu|900000|900000|Confident|False|False|True|
