"ISO3","Name","Value","sign"
"AFG","Afghanistan","0.322118555426293","1"
"ALB","Albania","0.529925022216326","1"
"DZA","Algeria","0.260215987242846","1"
"AND","Andorra","",""
"AGO","Angola","0.639003513089213","1"
"ATG","Antigua and Barbuda","0.097163328947902","1"
"ARG","Argentina","-0.138862277785486","0"
"ARM","Armenia","0.485638411366613","1"
"AUS","Australia","0.0193360273831113","0"
"AUT","Austria","-0.314089806471238","-1"
"AZE","Azerbaijan","-0.130374232625151","0"
"BHS","Bahamas","0.131105159639257","0"
"BHR","Bahrain","0.783060511820213","1"
"BGD","Bangladesh","-0.530131460603264","-1"
"BRB","Barbados","0.894846704882312","1"
"BLR","Belarus","-0.412701984022199","-1"
"BEL","Belgium","0.0954731719463319","0"
"BLZ","Belize","-0.217942174284366","-1"
"BEN","Benin","0.425210417784839","1"
"BTN","Bhutan","-0.0971428042295756","0"
"BOL","Bolivia, Plurinational State of","-0.154105027132217","-1"
"BIH","Bosnia and Herzegovina","-0.0207670784642827","0"
"BWA","Botswana","-0.0431505086305498","0"
"BRA","Brazil","-0.000120077077888471","0"
"BRN","Brunei Darussalam","0.377008672231571","1"
"BGR","Bulgaria","-0.168684611381284","-1"
"BFA","Burkina Faso","-0.013806088870355","0"
"BDI","Burundi","-0.02069575913034","0"
"KHM","Cambodia","0.0862237592388186","1"
"CMR","Cameroon","0.0322665911178657","0"
"CAN","Canada","-0.0106659838130208","0"
"CPV","Cape Verde","0.276264892810738","1"
"CAF","Central African Republic","-0.00205984051839798","0"
"TCD","Chad","0.100592718865043","0"
"CHL","Chile","0.0899708052281674","0"
"CHN","China","1.05065721185964","1"
"COL","Colombia","0.121433269947128","0"
"COM","Comoros","-0.250730901227146","0"
"COG","Congo","-0.0102251788602358","0"
"COD","Congo, the Democratic Republic o","0.0554510330065621","1"
"CRI","Costa Rica","0.0403615894125233","0"
"CIV","Cote d'Ivoire","0.285573602303627","1"
"HRV","Croatia","0.0217293243806553","0"
"CUB","Cuba","-0.127433156441387","0"
"CYP","Cyprus","-0.111849798199873","0"
"CZE","Czech Republic","0.0573286053338036","0"
"DNK","Denmark","0.0954166862912914","0"
"DJI","Djibouti","-0.087824137756872","0"
"DMA","Dominica","-0.235137400404517","0"
"DOM","Dominican Republic","0.250454818674913","1"
"ECU","Ecuador","-0.0856585885973889","0"
"EGY","Egypt","0.0151517093160551","0"
"SLV","El Salvador","-0.0218251725242338","0"
"GNQ","Equatorial Guinea","0.0829129189661558","1"
"ERI","Eritrea","0.218853292923134","0"
"EST","Estonia","0.00139740469821165","0"
"ETH","Ethiopia","0.12479424384098","0"
"FJI","Fiji","-0.0500553087905644","0"
"FIN","Finland","0.192314601077102","1"
"FRA","France","-0.0598325193985451","0"
"GAB","Gabon","-0.136952672909833","0"
"GMB","Gambia","0.362062680382686","0"
"GEO","Georgia","0.12952444109724","0"
"DEU","Germany","-0.149362234278017","-1"
"GHA","Ghana","0.197992495810935","1"
"GRC","Greece","0.379075382842908","1"
"GRD","Grenada","0.163697988594773","1"
"GTM","Guatemala","-0.13787343582261","0"
"GIN","Guinea","0.0521026932164191","0"
"GNB","Guinea-Bissau","0.468785336562195","1"
"GUY","Guyana","0.462408520679846","0"
"HTI","Haiti","-0.15070590691284","-1"
"HND","Honduras","-0.26693766425623","0"
"HUN","Hungary","0.0261407088919161","0"
"ISL","Iceland","-0.384117165141088","-1"
"IND","India","0.426788741484076","1"
"IDN","Indonesia","0.297599551839487","1"
"IRN","Iran, Islamic Republic of","-0.28453416142893","-1"
"IRQ","Iraq","0.176306979011513","1"
"IRL","Ireland","0.0257329369049582","0"
"ISR","Israel","0.42922513622412","1"
"ITA","Italy","0.465721969170926","1"
"JAM","Jamaica","0.289783284795189","1"
"JPN","Japan","0.0347554260286317","0"
"JOR","Jordan","0.209935784086838","1"
"KAZ","Kazakhstan","0.212194684953015","1"
"KEN","Kenya","0.229729764658914","1"
"KIR","Kiribati","0.0984872125674333","0"
"PRK","Korea, Democratic People's Repub","-0.0415319060829678","0"
"KOR","Korea, Republic of","0.300619864220999","1"
"KWT","Kuwait","0.849212103940974","1"
"KGZ","Kyrgyzstan","-0.0455840004850078","0"
"LAO","Lao People's Democratic Republic","-0.0571228008344233","0"
"LVA","Latvia","0.372231344518987","1"
"LBN","Lebanon","-0.0262802973004878","0"
"LSO","Lesotho","-0.266037381010209","-1"
"LBR","Liberia","0.149806016560082","1"
"LBY","Libyan Arab Jamahiriya","0.0847507163358066","1"
"LIE","Liechtenstein","",""
"LTU","Lithuania","0.390966138904984","1"
"LUX","Luxembourg","-0.41178761575496","-1"
"MKD","Macedonia","0.137262753479485","0"
"MDG","Madagascar","0.0531330844762091","0"
"MWI","Malawi","0.272460163667725","0"
"MYS","Malaysia","0.193340604121666","1"
"MDV","Maldives","0.152216880876533","0"
"MLI","Mali","0.028077166541041","0"
"MLT","Malta","0.124226516010654","0"
"MHL","Marshall Islands","-0.16312950048955","0"
"MRT","Mauritania","-0.254534477287818","-1"
"MUS","Mauritius","0.628072928766396","1"
"MEX","Mexico","-0.0873614969167248","-1"
"FSM","Micronesia, Federated States of","-0.211589129028622","0"
