"ISO3","Name","Value","sign"
"AFG","Afghanistan",0.00601292042485568,1
"ALB","Albania",0.00463145576974288,1
"DZA","Algeria",0.002632940909925,1
"AND","Andorra",0.0261480043304424,1
"AGO","Angola",0.0116326959670349,1
"ATG","Antigua and Barbuda",0.000899473953075339,0
"ARG","Argentina",-0.00270213467589946,0
"ARM","Armenia",0.00728016304182327,1
"AUS","Australia",0.000620413822706382,0
"AUT","Austria",-0.00661067827665467,-1
"AZE","Azerbaijan",-0.00172657585034076,0
"BHS","Bahamas",0.00279868074531047,1
"BHR","Bahrain",0.0149176226255695,1
"BGD","Bangladesh",-0.00075782325918045,0
"BRB","Barbados",0.0177547722718028,1
"BLR","Belarus",-0.0113746465533393,-1
"BEL","Belgium",0.00028119102436196,0
"BLZ","Belize",-0.00139013434952556,0
"BEN","Benin",0.00585612189934039,1
"BTN","Bhutan",-0.00110940507572127,0
"BOL","Bolivia, Plurinational State of",-0.000999657621416925,0
"BIH","Bosnia and Herzegovina",0.000131484589163897,0
"BWA","Botswana",0.000595974368543375,0
"BRA","Brazil",0.000132478917164897,0
"BRN","Brunei Darussalam",0.00755915761003918,1
"BGR","Bulgaria",0.00102556989255883,0
"BFA","Burkina Faso",8.89306513977748e-05,0
"BDI","Burundi",-0.00134755034664039,0
"KHM","Cambodia",0.00161224401407417,0
"CMR","Cameroon",0.00089266466854668,0
"CAN","Canada",-0.000893318037963758,0
"CPV","Cape Verde",0.00473779913505589,1
"CAF","Central African Republic",-0.00125014227162188,0
"TCD","Chad",-0.000288456925396068,0
"CHL","Chile",0.00160289463814885,0
"CHN","China",0.0202828356785312,1
"COL","Colombia",0.000625474026870968,0
"COM","Comoros",-0.00172795117965975,0
"COG","Congo",0.00187724207605796,0
"COD","Congo, the Democratic Republic o",0.00086218572550867,1
"CRI","Costa Rica",-0.00043190162565971,0
"CIV","Cote d'Ivoire",0.00689629553427384,1
"HRV","Croatia",0.00179736752408627,0
"CUB","Cuba",-0.00139061553902782,0
"CYP","Cyprus",-0.0013254179849387,0
"CZE","Czech Republic",0.0020796400757542,0
"DNK","Denmark",0.00240035104492493,1
"DJI","Djibouti",0.00174444145867755,0
"DMA","Dominica",-0.00309983530563387,0
"DOM","Dominican Republic",0.00666224490113282,1
"ECU","Ecuador",0.000759297549573531,0
"EGY","Egypt",-0.000384767377802891,0
"SLV","El Salvador",0.000430640282108263,0
"GNQ","Equatorial Guinea",0.000846669467674603,0
